ParentBusinessUnit,BusinessUnit,Latitude,Longitude,StateShort,Year,Make,Model,Trim,Mileage,ListPrice,LotPrice,MSRP,MarketAveragePrice,AgeInDays,Color,InteriorColor,ReconditionCost,UnitCost,PotentialGross,Stock,VIN,Received,Transmission,Risk,PrimaryBookValue,class
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2011,Subaru,Legacy,2.5I PREM AWP,117527,10995,10995,10995,NULL,11,RED,NULL,NULL,850,10145,90528A,4S3BMBC69B3262979,2/23/2019,A/T,RED,8285,4-door Compact Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2013,Honda,Fit,SPORT,46832,13995,13995,13995,12799.3333,11,SILVER,NULL,NULL,11469.33,2525.67,90236B,JHMGE8H52DC046382,2/23/2019,5-Speed A/T,GREEN,11695,4-door Sub-Compact Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2013,Nissan,Altima,3.5 SL,76794,13995,13995,13995,NULL,12,SILVER,NULL,NULL,10240.61,3754.39,TP1000D,1N4BL3AP3DN518910,2/22/2019,Automatic,YELLOW,11843,4-door Mid-Size Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2017,Toyota,Camry,LE,23998,18995,18995,18995,17984,11,GRAY,NULL,NULL,15955.27,3039.73,90736A,4T1BF1FK4HU438882,2/23/2019,Automatic,GREEN,17160,4-door Mid-Size Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2015,Toyota,Sequoia,PLATINUM,23414,46995,46995,46995,NULL,7,SILVER,NULL,NULL,41836.1,5158.9,P3226,5TDDY5G13FS126266,2/27/2019,Automatic,GREEN,45789,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2015,Scion,FR-S,SUPER CHARGER,40999,18995,18995,18995,19420.5,13,WHITE,NULL,NULL,15227.1,3767.9,90245B,JF1ZNAA14F9713046,2/21/2019,Manual,YELLOW,17039,2-door Mini-Compact Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,4Runner,TRAIL PREMIUM,4141,41995,41995,41995,34580,6,BLACK,NULL,NULL,37250,4745,P3230,JTEBU5JR0G5387505,2/28/2019,Automatic,GREEN,39023,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2018,Toyota,Camry,LE,14098,21995,21995,21995,20441.0769,6,WHITE,NULL,NULL,20105.75,1889.25,P3232,4T1B11HKXJU115003,2/28/2019,Automatic,GREEN,20840,4-door Mid-Size Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,RAV4,SE,23167,30995,30995,30995,25682.8,6,BLACK,NULL,NULL,24225,6770,P3231,2T3JFREVXGW431964,2/28/2019,Automatic,GREEN,25307,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2015,Honda,Odyssey,EX-L,34484,23995,23995,23995,24556.3333,11,GRAY,NULL,NULL,20458.75,3536.25,9102B,5FNRL5H68FB044942,2/23/2019,Automatic,GREEN,23833,2WD Minivans
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,Corolla,LE PLUS,63726,15995,15995,15995,17777,11,SILVER,NULL,NULL,12006.15,3988.85,90589B,2T1BURHE8GC588425,2/23/2019,Automatic,GREEN,14411,4-door Compact Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2008,Ford,Escape,XLT,106553,8995,8995,8995,6748.5,10,SILVER,NULL,NULL,5195.02,3799.98,90975A,1FMCU93168KB16132,2/24/2019,Automatic,RED,7252,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2003,Toyota,Tacoma,ACC CAB 2WD AT,92338,10995,10995,10995,7999,9,RED,NULL,NULL,5514.89,5480.11,TP3187A,5TEVL52N93Z285837,2/25/2019,Automatic,RED,9838,2WD Small Pickup Trucks
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2012,Ram,1500,SPORT,108275,NULL,0,NULL,23241.4,10,SILVER,NULL,NULL,15500,NULL,90447B,1C6RD7HT2CS104394,2/24/2019,Automatic,RED,20327,4WD Standard Pickup Trucks
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Ford,F-150,LARIAT,12621,39995,39995,39995,37033.8888,24,WHITE,NULL,NULL,35000,4995,90482A,1FTEW1EG2GKE62364,2/10/2019,Automatic,YELLOW,41324,4WD Standard Pickup Trucks
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,4Runner,TRAIL PREMIUM,32519,38995,38995,38995,34700,5,WHITE,NULL,NULL,34271.82,4723.18,90964A,JTEBU5JR3G5368334,3/1/2019,Automatic,GREEN,36121,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2013,Toyota,Highlander,4DR 4WD V6 LE,49603,NULL,0,NULL,22956,17,SILVER,NULL,NULL,17500,NULL,90914A,5TDBK3EH3DS234817,2/17/2019,Automatic,GREEN,20976,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,Highlander Hybrid,LIMITED PLATINUM,27852,40995,40995,40995,39792,10,GREEN,NULL,NULL,36000,4995,90981A,5TDDCRFHXGS017731,2/24/2019,Automatic,GREEN,38798,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2015,Toyota,4Runner,LIMITED,47756,35995,35995,35995,34995,8,GRAY,NULL,NULL,32166.19,3828.81,P3224,JTEBU5JR6F5230415,2/26/2019,Automatic,GREEN,33074,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2015,Toyota,Sienna,LTD PREMIUM,101734,22995,22995,22995,31285.6666,11,WHITE,NULL,NULL,19666.25,3328.75,90742A,5TDDK3DC0FS094355,2/23/2019,Automatic,RED,21561,4WD Minivans
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2012,Nissan,Frontier,SL,78667,19995,19995,19995,17995,10,BLACK,NULL,NULL,16000,3995,90984A,1N6AD0FV7CC404912,2/24/2019,Automatic,YELLOW,18242,4WD Small Pickup Trucks
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2012,BMW,5 Series,535I,95036,16995,16995,16995,14988,32,BLACK,NULL,NULL,10500,6495,90355B,WBAFR7C57CC808247,3/6/2019,Automatic,YELLOW,14789,4-door Mid-Size Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2013,Toyota,Sienna,XLE,85510,20995,19995,20995,20999,6,RED,NULL,NULL,17961.35,3033.65,90650A,5TDDK3DC6DS049384,2/28/2019,Automatic,YELLOW,19052,4WD Minivans
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,Highlander,XLE,46895,31995,31995,31995,33114.4444,6,SILVER,NULL,NULL,25500,6495,P3238A,5TDJKRFH2GS270760,2/28/2019,Automatic,GREEN,29294,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2018,Toyota,C-HR,XLE PREMIUM,5092,23995,23995,23995,NULL,10,BLACK,NULL,NULL,20041.59,3953.41,P3183A,NMTKHMBX0JR004355,2/24/2019,Automatic,YELLOW,22571,2WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2011,Mazda,MAZDA3,I SPORT,64969,10995,10995,10995,8000,10,BLACK,NULL,NULL,7059.39,3935.61,TP3217,JM1BL1UGXB1473253,2/24/2019,Automatic,RED,8560,4-door Compact Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,GMC,Yukon,DENALI,39816,51995,51995,51995,47256.75,6,WHITE,NULL,NULL,45500,6495,91031A,1GKS2CKJ8GR248193,2/28/2019,Automatic,YELLOW,48920,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2015,Nissan,Sentra,SV,90455,10995,10995,10995,12577.5833,11,SILVER,NULL,NULL,5922.17,5072.83,TP3156A,3N1AB7AP5FY278039,2/23/2019,Automatic,YELLOW,9976,4-door Mid-Size Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,RAV4,LIMITED,36220,NULL,0,NULL,26310.8181,3,MAGNTIC GRAY,NULL,NULL,22500,NULL,90696A,JTMDFREV4GJ082280,3/3/2019,Automatic,GREEN,24962,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2015,Toyota,Highlander,LIMITED PLATINUM,52247,31995,31995,31995,31271.5555,3,WHITE,NULL,NULL,28774.27,3220.73,90894A,5TDDKRFHXFS154847,3/3/2019,Automatic,GREEN,30498,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2012,Lexus,RX 450h, ,96060,21995,21995,21995,21988,4,WHITE,NULL,NULL,19067.05,2927.95,P3243,JTJBC1BA2C2426936,3/2/2019,Automatic,YELLOW,18614,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2011,Toyota,Sienna,LTD,91657,18995,18995,18995,20995,3,GRAY,NULL,NULL,12685.51,6309.49,P3247,5TDDK3DC1BS029301,3/3/2019,Automatic,RED,17702,4WD Minivans
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2017,Toyota,Camry,XSE V6,22172,23995,23995,23995,20993,3,BLACK,NULL,NULL,20993.88,3001.12,90767A,4T1BK1FK0HU585339,3/3/2019,Automatic,GREEN,21820,4-door Mid-Size Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2018,Toyota,RAV4,XLE,18878,26995,26995,26995,27995,6,BLACK,NULL,NULL,23008.82,3986.18,P3234,2T3RFREV6JW787614,2/28/2019,Automatic,GREEN,23279,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2018,Toyota,RAV4,XLE,19804,26995,26995,26995,27995,6,WHITE,NULL,NULL,22986.82,4008.18,P3236,2T3RFREV9JW814286,2/28/2019,Automatic,GREEN,23230,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2015,Toyota,Sienna,LTD,29836,33995,33995,33995,27619,4,BLACK,NULL,NULL,27983,6012,P3241,5TDDK3DC5FS117337,3/2/2019,Automatic,GREEN,29851,4WD Minivans
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Lexus,NX 200t,F SPORT,29548,35995,35995,35995,31819.0909,4,GRAY,NULL,NULL,29797,6198,P3239,JTJBARBZ6G2064187,3/2/2019,Automatic,GREEN,31129,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,Camry,SE,48269,17995,17995,17995,17467.4642,2,GRAY,NULL,NULL,14110.97,3884.03,P3253,4T1BF1FK1GU195109,3/4/2019,Automatic,GREEN,15619,4-door Mid-Size Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2018,Toyota,Sienna,XLE,2234,33995,33995,33995,29177.625,2,WALNUT PEARL,NULL,NULL,65,33930,90431A,5TDYZ3DC1JS951868,3/4/2019,Automatic,GREEN,31810,2WD Minivans
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2015,Toyota,Corolla,S PLUS,38281,16995,16995,16995,14879.8,4,BLACK,NULL,NULL,13792.72,3202.28,90542B,2T1BURHE9FC434398,3/2/2019,Automatic,GREEN,14764,4-door Compact Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2017,Toyota,Tacoma,SR5,15584,33995,33995,33995,32282.8333,3,GRAY,NULL,NULL,29000,4995,9533A,3TMCZ5AN4HM100752,3/3/2019,Automatic,GREEN,32175,4WD Small Pickup Trucks
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2017,Toyota,Corolla,50TH ANNIVERSARY SPECIAL EDITION,20089,17995,17995,17995,15637.8777,3,WHITE,NULL,NULL,15089.53,2905.47,90744A,5YFBURHE5HP641275,3/3/2019,Automatic,GREEN,16092,4-door Compact Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,Highlander,XLE,25179,32995,32995,32995,33077.4074,2,WHITE,NULL,NULL,29864.32,3130.68,P3254,5TDJKRFH9GS277172,3/4/2019,Automatic,GREEN,31154,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,Prius c,TWO,9644,17995,17995,17995,16486.8333,3,WHITE,NULL,NULL,14381.36,3613.64,P3250,JTDKDTB30G1118656,3/3/2019,Automatic,GREEN,14866,4-door Compact Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,Highlander,XLE,40811,31995,31995,31995,33114.4444,3,RED,NULL,NULL,28357.79,3637.21,90824A,5TDJKRFH0GS225283,3/3/2019,Automatic,GREEN,29808,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2015,Nissan,JUKE,NISMO,48534,17995,17995,17995,16494,2,WHITE,NULL,NULL,1425.12,16569.88,90974B,JN8AF5MV3FT559110,3/4/2019,Automatic,YELLOW,16298,Small Wagon
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2011,Ford,Explorer,LIMITED,95167,16995,16995,16995,17499,4,WHITE,NULL,NULL,12500,4495,90042A,1FMHK8F83BGA32763,3/2/2019,Automatic,RED,16450,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2018,Toyota,RAV4,XLE,13258,26995,26995,26995,27995,6,GRAY,NULL,NULL,23040.11,3954.89,P3235,2T3RFREV3JW795704,2/28/2019,Automatic,GREEN,23534,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2018,Toyota,RAV4,XLE,16456,26995,26995,26995,27995,6,BLACK,NULL,NULL,22763.82,4231.18,P3237,2T3RFREV1JW815366,2/28/2019,Automatic,GREEN,23398,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2017,Toyota,RAV4,SE,12116,32995,32995,32995,NULL,2,GRAY,NULL,NULL,25895,7100,P3251,2T3JFREV0HW660445,3/4/2019,Automatic,GREEN,28077,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2001,Acura,MDX, ,195236,NULL,0,NULL,NULL,5,BEIGE,NULL,NULL,2000,NULL,TP3038B,2HNYD18211H537759,3/1/2019,5-Speed A/T,RED,4018,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,RAV4 Hybrid,LIMITED,28558,33995,33995,33995,30459.8571,4,WHITE,NULL,NULL,27195,6800,P3242,JTMDJREVXGD054223,3/2/2019,Automatic,GREEN,28045,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,RAV4,XLE,34533,25995,25995,25995,23815.9523,4,WHITE,NULL,NULL,22818.07,3176.93,P3240,2T3RFREV4GW420218,3/2/2019,Automatic,GREEN,22305,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,Camry,LE,8260,19995,19995,19995,19595,NULL,SILVER,NULL,NULL,17033.43,2961.57,P3256,4T4BF1FK6GR530810,3/5/2019,Automatic,GREEN,16433,4-door Mid-Size Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2004,Audi,A4,3.0L,59399,8995,8995,8995,NULL,NULL,SILVER,NULL,NULL,3000,5995,T9726A,WAUVT68E84A093542,3/3/2019,Automatic,RED,6133,Small Wagon
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2018,Toyota,Tacoma,TRD OFF ROAD,4582,37995,37995,37995,40995,NULL,CEMENT,NULL,NULL,33654.97,4340.03,P3257,5TFCZ5AN3JX158061,3/5/2019,Automatic,GREEN,36549,4WD Small Pickup Trucks
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2014,Audi,A4,PREMIUM PLUS,64861,19995,19995,19995,19270.6,NULL,BLUE,NULL,NULL,15500,4495,90167B,WAUFFAFL8EN023775,3/3/2019,8-Speed A/T,YELLOW,17798,4-door Compact Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2010,Volkswagen,Jetta,LIMITED,56848,8995,8995,8995,8497,NULL,RED,NULL,NULL,5000,3995,T91028A,3VWAX7AJ2AM091395,3/4/2019,Automatic,RED,7542,4-door Compact Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2013,Toyota,Tacoma, ,65751,27995,27995,27995,26013.8,NULL,WHITE,NULL,NULL,22500,5495,90240A,3TMMU4FN9DM057610,3/5/2019,Automatic,GREEN,26141,4WD Small Pickup Trucks
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2014,BMW,4 Series,435I,58233,26995,26995,26995,NULL,NULL,BLACK,NULL,NULL,23059.69,3935.31,P3044A,WBA3T3C57EJ876592,3/1/2019,Automatic,YELLOW,26273,2-door Sub-Compact Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2018,Toyota,Corolla,LE,18710,19995,19995,19995,17664.439,NULL,GRAY,NULL,NULL,14715,5280,P3262,2T1BURHE0JC109731,3/6/2019,A,GREEN,16315,4-door Compact Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2007,Toyota,Prius,4DR SDN HYBRID CV,83788,9995,9995,9995,6970.6666,NULL,SILVER,NULL,NULL,4900,5095,P3266,JTDKB20U777682653,3/7/2019,Automatic,RED,7920,4-door Mid-Size Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,RAV4,SE,35269,29995,29995,29995,25749.4666,NULL,SILVER,NULL,NULL,22290,7705,P3260,2T3JFREV7GW437799,3/6/2019,Automatic,GREEN,24581,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,Prius,TWO,13885,21995,21995,21995,NULL,NULL,SILVER,NULL,NULL,19246.77,2748.23,84334C,JTDKBRFU9G3517601,3/5/2019,Automatic,GREEN,20990,4-door Mid-Size Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2015,Lexus,NX 300h, ,34669,36995,36995,36995,31821.2857,NULL,WHITE,NULL,NULL,29775,7220,P3261,JTJBJRBZ7F2025686,3/6/2019,Automatic,GREEN,31751,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2012,Hyundai,Sonata,2.4L SE,78942,10995,10995,10995,10293.5,NULL,GRAY,NULL,NULL,7000,3995,83323C,5NPEC4AC2CH320733,3/2/2019,Automatic,YELLOW,10040,4-door Mid-Size Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,Highlander,XLE,37041,32995,32995,32995,33077.4074,NULL,WHITE,NULL,NULL,27000,5995,90587A,5TDJKRFH7GS338924,3/5/2019,Automatic,GREEN,30355,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2015,Dodge,Durango,SXT,52456,24995,24995,24995,24856,NULL,GRAY,NULL,NULL,323.51,24671.49,9212A,1C4RDJAG6FC908148,3/5/2019,Automatic,YELLOW,23208,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2013,BMW,X5,XDRIVE35I PREMIUM,44511,23995,23995,23995,20643.6666,NULL,BLACK,NULL,NULL,17500,6495,9684C,5UXZV4C58D0G53805,3/5/2019,Automatic,YELLOW,20586,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,Camry,SE,22031,19995,19995,19995,17396.0357,NULL,WHITE,NULL,NULL,16580,3415,P3265,4T1BF1FK2GU247847,3/6/2019,Automatic,GREEN,17134,4-door Mid-Size Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,Avalon,LIMITED,20653,27995,27995,27995,26458.2857,NULL,WHITE,NULL,NULL,24180,3815,P3264,4T1BK1EB9GU206418,3/6/2019,Automatic,GREEN,25577,4-door Mid-Size Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2005,BMW,X5,4.4I,133634,NULL,0,NULL,NULL,NULL,BLACK,NULL,NULL,2500,NULL,P2917A,5UXFB53545LV10834,3/6/2019,Automatic,RED,6521,4WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2011,Toyota,Tacoma,,93834,23995,23995,23995,24747,NULL,SILVER,NULL,NULL,20128.71,3866.29,90669B,3TMLU4EN2BM075344,3/3/2019,Automatic,RED,20639,4WD Small Pickup Trucks
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2008,Toyota,FJ Cruiser, ,129910,NULL,0,NULL,NULL,NULL,BLACK,NULL,NULL,147.5,NULL,9834D,JTEZU11FX8K006047,3/1/2019,Automatic,RED,13105,2WD Sport Utility Vehicles
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2004,Chevrolet,Impala,LS,174799,NULL,0,0,NULL,NULL,BEIGE,NULL,NULL,1000,NULL,9466A,2G1WH52K749186087,3/3/2019,Automatic,RED,3549,4-door Large Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2013,Hyundai,Veloster,TURBO W/BLACK INT,78044,12995,12995,12995,NULL,NULL,BLACK,NULL,NULL,7250,5745,P3259A,KMHTC6AE8DU105588,3/6/2019,Automatic,YELLOW,8762,2-door Sub-Compact Passenger Car
Michael's Group,Michael's Toyota of Bellevue,47.5814,-122.139,WA,2016,Toyota,RAV4,LIMITED,47035,25995,25995,25995,NULL,NULL,RED,NULL,NULL,20300,5695,P3269,2T3DFREV0GW478031,3/8/2019,Automatic,GREEN,23581,4WD Sport Utility Vehicles
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2017,Jeep,Grand Cherokee,Limited,42780,27994,29994,NULL,29720.305,230,BLUE,NULL,NULL,26629.53,1364.47,37415,1C4RJFBG9HC619725,7/19/2018,Automatic,RED,27620,4WD Sport Utility Vehicles
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2013,Ram,2500,Laramie Power Wagon,83754,34994,39994,NULL,36215.8333,237,GREY,NULL,NULL,34668.58,325.42,37367,3C6TR5FT9DG567852,7/12/2018,Automatic,GREEN,36163,4WD Standard Pickup Trucks
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2013,Chevrolet,Silverado 1500,LT,51285,24994,28995,NULL,23565.5517,253,WHITE,NULL,NULL,23367.94,1626.06,37234,3GCPKSE74DG254404,6/26/2018,Automatic,GREEN,25487,4WD Standard Pickup Trucks
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2014,Ram,2500,Laramie,84611,42994,44994,NULL,42427.3076,109,BLACK,NULL,NULL,40675.62,2318.38,37433,3C6UR5FL7EG302207,11/17/2018,Automatic,GREEN,40967,4WD Standard Pickup Trucks
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2013,Chevrolet,Silverado 1500,LT,41584,26994,28995,NULL,23531.0689,230,RED,NULL,NULL,26041.68,952.32,37421,3GCPKSE79DG232513,7/19/2018,Automatic,GREEN,26732,4WD Standard Pickup Trucks
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2013,Ram,1500,Tradesman,64701,21994,23994,NULL,18662,204,WHITE,NULL,NULL,19261.14,2732.86,37675,1C6RR7KP0DS684596,8/14/2018,Automatic,GREEN,20668,4WD Standard Pickup Trucks
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2016,Kia,Sorento,LX,40977,19994,21998,NULL,19469.0909,204,BLACK,NULL,NULL,18805.97,1188.03,37672,5XYPGDA5XGG131727,8/14/2018,Automatic,GREEN,19743,4WD Sport Utility Vehicles
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2017,Ford,Escape,SE,39820,17994,20994,NULL,18202,190,BLUE,NULL,NULL,18983.72,-989.72,37791,1FMCU9GD8HUD29611,8/28/2018,Automatic,GREEN,17919,4WD Sport Utility Vehicles
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2012,Ram,1500,Laramie Longhorn Edition,50683,26994,28998,NULL,23264.7,195,BLACK/GOLD,NULL,NULL,25321.24,1672.76,37764,1C6RD7PT4CS265167,8/23/2018,Automatic,YELLOW,25933,4WD Standard Pickup Trucks
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2012,Ford,F-150,FX4,83456,23995,25994,NULL,21002.8918,197,WHITE,NULL,NULL,22309.19,1685.81,37720,1FTFW1EF6CFC64630,8/21/2018,Automatic,YELLOW,23637,4WD Standard Pickup Trucks
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2015,Subaru,Forester,2.5i Premium,29061,19994,21994,NULL,15787,183,GREEN,NULL,NULL,19744.5,249.5,37878,JF2SJADCXFG830809,9/4/2018,6-Speed M/T,GREEN,20225,4WD Sport Utility Vehicles
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2017,Chevrolet,Traverse,LT,82300,21994,24995,NULL,25534.7021,183,GREY,NULL,NULL,20656.08,1337.92,37881,1GNKVGKD2HJ183689,9/4/2018,Automatic,GREEN,22046,4WD Sport Utility Vehicles
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2016,Honda,Pilot,EX-L,36844,29994,32994,NULL,30612.2857,174,GREY,NULL,NULL,30715.23,-721.23,37936,5FNYF6H56GB010242,9/13/2018,Automatic,GREEN,30569,4WD Sport Utility Vehicles
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2012,GMC,Sierra 1500,SLT,42177,27994,27994,NULL,22440.3636,176,RED,NULL,NULL,26943.72,1050.28,37932,3GTP2WE77CG118659,9/11/2018,Automatic,YELLOW,27797,4WD Standard Pickup Trucks
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2016,Subaru,Outback,2.5i Premium,47125,21994,24494,NULL,21952.5866,176,RED,NULL,NULL,20700.61,1293.39,37934,4S4BSACC3G3350953,9/11/2018,A/T,GREEN,21508,4WD Sport Utility Vehicles
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2016,Honda,CR-V,LX,36385,19994,21374,NULL,19943.875,174,BLACK,NULL,NULL,19986.6,7.4,37937,2HKRM4H39GH630999,9/13/2018,CVT Transmission,GREEN,19208,4WD Sport Utility Vehicles
Consumer Auto Liquidators,CAL Cars,47.6437,-117.5622,WA,2012,Ram,2500,Outdoorsman,120017,27994,27994,NULL,30530.3636,110,GREY,NULL,NULL,25710.99,2283.01,37965,3C6UD5DL7CG270924,11/16/2018,Automatic,RED,27600,4WD Standard Pickup Trucks
